Subregion,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Eastern Africa,Burundi,,,,,,,,,4.2,4.4,4,3.9,5.4,5.4,5.7,4.5,6
Eastern Africa,Comoros,10.4,,,,,9.5,,,,,8.5,,,,,7.7,
Eastern Africa,Djibouti,8.9,,,,,8.1,,,,,7.4,,,,,6.5,
Eastern Africa,Eritrea,9.9,,,,,9.6,,,,,8.9,,,,,8,
Eastern Africa,Ethiopia,10.7,,,,,9.4,,,,,8.5,,,,,7.6,
Eastern Africa,Kenya,,,,,3.4,3,3,2.9,3.1,4.7,4.7,5.3,5.4,5.5,5,4.8,4.9
Eastern Africa,Madagascar,11.4,,,,,10,,,,,9.2,,,,,7.7,
Eastern Africa,Malawi,6.2,7.7,4.7,2.4,3.2,1.5,6.1,5,5.5,2.2,3.4,2.2,1.7,,,,
Eastern Africa,Mauritius,2.2,,,3.2,2.9,3,4.1,3.6,3.9,3.1,2.6,2.7,2.3,2.8,1.5,1.7,1.8
Eastern Africa,Mayotte,,,,,,,,14.2,2.5,5.9,,,,,,,
Eastern Africa,Mozambique,,5.9,5.4,5.3,5.6,5.2,4.1,3.8,4.4,3.5,3.6,3.4,,,,,
Eastern Africa,Réunion,,,,,2.9,3.2,2.4,3,2.2,1.8,,,,,,,
Eastern Africa,Rwanda,,,,,,,3.5,2.8,1.5,,2.8,,2.4,3.2,3.8,2.5,
Eastern Africa,Seychelles,,,,,11.4,,10,8.9,6.6,15.4,9.8,17.4,4.3,19.4,17.2,7.5,12.7
Eastern Africa,Somalia,5.4,,,,,5,,,,,5.3,,,,,4.3,
Eastern Africa,South Sudan,,,,,,,,,,,,,13.9,,,,
Eastern Africa,Uganda,,,,8,7.4,8.7,9.1,8.6,8.8,9.9,9.3,10.7,11.2,10.3,11.5,,
Eastern Africa,Tanzania,,,,7.5,7.6,,,,,,8.4,8.7,8.3,7.3,7.5,7,
Eastern Africa,Zambia,7.6,,,,,,,,5.3,6,5.9,6,6,5.7,5.3,5.3,
Eastern Africa,Zimbabwe,,12.4,13,10.8,10.6,10.4,8.2,,,,5,,6.7,,,,
Middle Africa,Angola,,,,,,,,,,,,4.4,4.8,,,,
Middle Africa,Cameroon,3,4.8,6.4,6.1,,,,,4.1,6.6,5,4.1,4.2,,,,
Middle Africa,Central Africa,,,,,,,,,,,,,,,,,19.8
Middle Africa,Chad,11.4,,,,,10.7,,,,,9.7,,,,,9,
Middle Africa,Congo,11.3,,,,,10.6,,,,,9.9,,,,,9.3,
Middle Africa,Congo,14.1,,,,,14.6,,,,,14.3,,,,,13.5,
Middle Africa,Equatorial Guinea,3.3,,,,,2.9,,,,,2.6,,,,,2.3,
Middle Africa,Gabon,10.8,,,,,11,,,,,8.7,,,,,8,
Middle Africa,Sao Tome and Principe,,,,,,,2.5,2.5,8.4,2.9,3.4,3.4,,,,,
Northern Africa,Algeria,,,,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,
Northern Africa,Egypt,,,,0.6,0.4,0.7,0.7,0.9,1.2,1.1,2.2,3.1,2.5,,,,
Northern Africa,Libya,3.7,,,,,3.7,,,,,3.1,,,,,2.5,
Northern Africa,Morocco,1.6,1.9,1.6,1.7,1.6,1.5,1.6,1.7,1.3,1.4,1.4,1.3,1.1,1.3,1,1.2,
Northern Africa,Sudan,,,,,,,,4.7,5.2,,,,,,,,
Northern Africa,Tunisia,,,,,1.9,2.6,2.4,2.7,2.7,2.4,2.7,,3,,,,
Southern Africa,Botswana,,12.1,14.3,17.3,14.2,15.7,13.9,14.6,14.4,14.6,15,,,,,,
Southern Africa,Lesotho,,,,,,,,45.1,37.6,35.8,37.4,34.5,30.7,31.1,,41.2,
Southern Africa,Namibia,20,18.3,17.6,,17.5,,,,16.8,18.2,14.4,13.9,17.1,,,,
Southern Africa,South Africa,47.6,46.1,45.8,41.6,39,38,38.7,36.9,35.9,32.9,30.8,29.8,30.6,31.7,32.6,33.8,34
Southern Africa,Swaziland,,18.8,13,13.2,13.3,13.7,10.8,14.9,18.7,15.8,17.3,,,,,,
Western Africa,Benin,7.3,,,,,7.2,,,,,6.6,,,,,6.2,
Western Africa,Burkina Faso,,,0.6,0.6,0.6,0.5,0.5,0.7,0.7,0.5,0.6,0.5,0.5,0.7,0.8,0.4,
Western Africa,Cabo Verde,,,,3.3,4.5,9.3,7.3,6,6.9,7.6,7.8,10.4,10.9,10.4,12.3,8.6,11.5
Western Africa,Côte d'Ivoire,16.1,,,,,14.7,,,,,12.6,,,,,11.6,
Western Africa,Gambia,12.4,,,,,9.8,,,,,9.8,,,,,9.1,
Western Africa,Ghana,,2.2,2,2.1,2.2,1.8,1.9,1.8,1.8,1.8,1.7,1.7,,,,,
Western Africa,Guinea,10.9,,,,,10.1,,,,,9.4,,,,,8.8,
Western Africa,Guinea-Bissau,13,,,,,11.7,,,,,10.5,,,,,9.5,
Western Africa,Liberia,,,,,,,,2.8,4.8,3.8,3.3,4,3.2,,,,
Western Africa,Mali,12.9,,,,,12.7,,,,,12.2,,,,,10.9,
Western Africa,Mauritania,13.7,,,,,12.4,,,,,10.9,,,,,9.9,
Western Africa,Niger,,,,,,,,,,,,4.9,4.4,,,,
Western Africa,Nigeria,12.8,,,,,11.8,,,,,10.7,,,,,9.8,
Western Africa,Saint Helena, -   , -   , -   , -   ,22.7, -   , -   , -   , -   , -   ,,,,,,,
Western Africa,Senegal,10,,,,,9.3,,,,,8.5,,,,,7.4,
Western Africa,Sierra Leone,,,,,2.1,1.7,1.7,2.2,3,2.5,2.5,2.8,1.7,,,1.7,
Western Africa,Togo,10.5,,,,,10.7,,,,,9.6,,,,,9,
Caribbean,Anguilla,9, -   ,17.1,16.6,8.1, -   ,38.8,30.4,7.5,7.4, -   , -   ,35.4,7,27.7,,
Caribbean,Antigua and Barbuda,6,8.2,5.8,5.7,4.5,3.4,12.2,18.6,17.3,17.1,6.3,,10.3,,,,
Caribbean,Aruba,,4.3,5.3,4.1,2,6,5,3,4.9,3.9,3.9,2,3.9,5.8,1.9,,
Caribbean,Bahamas,24.8,14.2,16.8,15.8,13.6,15.8,18.2,22.8,20.9,24.5,26.1,34.6,29.8,31.5,32.2,37.7,28.4
Caribbean,Barbados,7.4,9.2,9.2,12.1,8.1,10.6,12.7,9.1,8.3,6.8,11.1,9.6,7.8,8.5,8.8,10.9,
Caribbean,UK  Virgin Islands,,4.7,4.6,9.1,17.7,,8.4,,,,,,,,,,
Caribbean,Cayman Islands,9.6,4.6, -   ,6.5,10.6,6.2,2,3.9,7.6,14.7,16.2,,,8.6,8.4,,
Caribbean,Cuba,5.3,5.4,5.9,5.7,5.9,6.1,5.1,5,4.6,5,4.5,4.7,5.5,5.9,5.2,5.4,5
Caribbean,Curaçao,,7.7,30.3,33.6,32,20.1,13.6,19.2,,,,,,,,,
Caribbean,Dominica,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.8,18.3,21,8.4,,,,,
Caribbean,Dominican Republic,14.1,12.6,14.5,21.2,24.6,25.9,22.9,22.2,24.8,24.3,25,25.1,22.3,19.2,17.4,,15.2
Caribbean,Grenada,14.8,5.9,13.7,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3,5.7,7.5,5.6,10.2
Caribbean,Guadeloupe,,,,,6,5.2,5.4,6.5,7.2,8,,,,,,,
Caribbean,Haiti,,,,,,,,5.1,5.1,6.1,6.8,9,10,,,,
Caribbean,Jamaica,33.4,42.5,38.8,35.9,53.9,61,48.5,57.1,58,60,51.4,40,38.7,42.1,35.1,42.1,47
Caribbean,Martinique,,,,,4.8,4.8,5.8,5.8,4.3,2.8,,,,,,,
Caribbean,Montserrat, -   , -   , -   , -   , -   ,20.9,20.6,,20.4,,,,19.9,,,,
Caribbean,Puerto Rico,18.3,19.7,20.6,20.8,21.1,20.5,19.9,19.5,21.8,24.2,27.4,31.4,27.2,24.5,19,16.8,18.5
Caribbean,Saint Kitts and Nevis,6.6,13,10.7,21.1,22.9,16.5,34.5,32.1,45.7,53.1,40.8,65.4,34.2,,,,
Caribbean,Saint Lucia,14.7,21.5,26.3,22.4,22.8,25,26,17.3,23,22.8,25.5,26.5,22.3,18.8,19.3,,
Caribbean,Saint Vincent and the Grenadines,18.5,11.1,18.5,16.6,26.7,23.9,18.4,36.7,14.7,21.1,22.9,19.2,25.6,,,,36.5
Caribbean,Trinidad and Tobago,9.5,11.9,13.4,17.8,20.1,29.8,28.5,29.9,41.6,38.4,35.6,26.4,28.3,30.3,29.9,30.9,
Caribbean,Turks and Caicos Islands, -   , -   ,9.2, -   ,, -   ,,7,6.8,6.6,,,,12.1,5.9,,
Caribbean,US Virgin Islands,21.2,25.8,37.8,28.6,34.2,34.3,40,40.1,43.1,47,52.8,42.5,49.3,,,,
