Continent,Subregion,Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,Eastern Africa,Burundi,BDI,,,,,,,,,341,376,347,349,500,520,564,461,635
Africa,Eastern Africa,Comoros,COM,56,,,,,58,,,,,59,,,,,60,
Africa,Eastern Africa,Djibouti,DJI,64,,,,,63,,,,,63,,,,,60,
Africa,Eastern Africa,Eritrea,ERI,335,,,,,382,,,,,389,,,,,390,
Africa,Eastern Africa,Ethiopia,ETH,"7,113",,,,,"7,214",,,,,"7,419",,,,,"7,552",
Africa,Eastern Africa,Kenya,KEN,,,,,"1,200","1,084","1,106","1,102","1,215","1,907","1,926","2,271","2,374","2,450","2,305","2,261","2,363"
Africa,Eastern Africa,Madagascar,MDG,"1,793",,,,,"1,842",,,,,"1,941",,,,,"1,863",
Africa,Eastern Africa,Malawi,MWI,700,900,567,300,411,200,821,690,780,320,520,343,279,,,,
Africa,Eastern Africa,Mauritius,MUS,26,,,39,35,37,50,45,48,38,33,34,29,35,19,21,23
Africa,Eastern Africa,Mayotte,,,,,,,,,27,5,12,,,,,,,
Africa,Eastern Africa,Mozambique,MOZ,,"1,100","1,040","1,044","1,130","1,089",894,849,995,823,875,849,,,,,
Africa,Eastern Africa,Réunion,,,,,,23,25,19,24,18,15,,,,,,,
Africa,Eastern Africa,Rwanda,RWA,,,,,,,319,268,144,,291,,256,359,428,293,
Africa,Eastern Africa,Seychelles,SYC,,,,,10,,9,8,6,14,9,16,4,18,16,7,12
Africa,Eastern Africa,Somalia,SOM,490,,,,,517,,,,,636,,,,,599,
Africa,Eastern Africa,South Sudan,SSD,,,,,,,,,,,,,"1,504",,,,
Africa,Eastern Africa,Uganda,UGA,,,,"2,136","2,049","2,492","2,696","2,645","2,793","3,233","3,160","3,753","4,066","3,857","4,473",,
Africa,Eastern Africa,Tanzania,TZA,,,,"2,778","2,926",,,,,,"3,888","4,149","4,092","3,697","3,902","3,746",
Africa,Eastern Africa,Zambia,ZMB,797,,,,,,,,694,812,814,863,885,867,825,853,
Africa,Eastern Africa,Zimbabwe,ZWE,,"1,529","1,623","1,360","1,356","1,350","1,072",,,,711,,981,,,,
Africa,Middle Africa,Angola,AGO,,,,,,,,,,,"1,055","1,055","1,217",,,,
Africa,Middle Africa,Cameroon,CMR,459,755,"1,031","1,002",,,,,776,"1,277",999,835,880,,,,
Africa,Middle Africa,Central Africa,CAF,,,,,,,,,,,913,,,,,,913
Africa,Middle Africa,Chad,TCD,949,,,,,"1,079",,,,,"1,151",,,,,"1,266",
Africa,Middle Africa,Congo,COD,366,,,,,396,,,,,433,,,,,466,
Africa,Middle Africa,Congo,COG,"6,617",,,,,"8,021",,,,,"9,213",,,,,"10,322",
Africa,Middle Africa,Equatorial Guinea,GNQ,20,,,,,22,,,,,25,,,,,27,
Africa,Middle Africa,Gabon,GAB,134,,,,,154,,,,,143,,,,,155,
Africa,Middle Africa,Sao Tome and Principe,STP,,,,,,,4,4,14,5,6,6,,,,,
Africa,Northern Africa,Algeria,DZA,,,,650,449,204,312,271,328,277,254,280,523,480,577,542,
Africa,Northern Africa,Egypt,EGY,,,,471,322,522,549,680,967,912,"1,839","2,703","2,207",,,,
Africa,Northern Africa,Libya,LBY,198,,,,,212,,,,,192,,,,,156,
Africa,Northern Africa,Morocco,MAR,461,543,462,510,470,469,498,517,426,432,451,441,383,429,355,431,
Africa,Northern Africa,Sudan,SDN,,,,,,,,"1,511","1,702","1,702",,,,,,,
Africa,Northern Africa,Tunisia,TUN,,,,,195,260,249,273,280,255,286,,332,,,,
Africa,Southern Africa,Botswana,BWA,,213,255,312,259,291,261,280,281,289,303,,,,,,
Africa,Southern Africa,Lesotho,LSO,,,,,,,,895,752,723,764,712,641,658,,897,
Africa,Southern Africa,Namibia,NAM,380,353,346,,352,,,,354,388,314,308,388,,,,
Africa,Southern Africa,South Africa,ZAF,"21,758","21,405","21,553","19,824","18,793","18,528","19,106","18,400","18,084","16,767","15,893","15,554","16,213","17,023","17,805","18,673","19,016"
Africa,Southern Africa,Swaziland,SWZ,,202,140,144,146,152,121,170,217,187,208,,,,,,
Africa,Western Africa,Benin,BEN,502,,,,,574,,,,,604,,,,,654,
Africa,Western Africa,Burkina Faso,BFA,,,78,81,78,63,69,94,108,77,93,82,84,122,138,67,
Africa,Western Africa,Cabo Verde,CPV,,,,15,21,44,35,29,34,38,39,53,56,54,65,46,62
Africa,Western Africa,Côte d'Ivoire,CIV,"2,681",,,,,"2,696",,,,,"2,576",,,,,"2,688",
Africa,Western Africa,Gambia,GMB,153,,,,,142,,,,,166,,,,,181,
Africa,Western Africa,Ghana,GHA,,433,401,436,452,393,412,399,430,427,422,423,,,,,
Africa,Western Africa,Guinea,GNB,956,,,,,973,,,,,"1,019",,,,,"1,067",
Africa,Western Africa,Guinea-Bissau,GIN,162,,,,,161,,,,,163,,,,,169,
Africa,Western Africa,Liberia,LBR,,,,,,,,100,177,145,129,161,135,,,,
Africa,Western Africa,Mali,MLI,"1,413",,,,,"1,623",,,,,"1,836",,,,,"1,905",
Africa,Western Africa,Mauritania,MRT,371,,,,,388,,,,,392,,,,,416,
Africa,Western Africa,Niger,NER,,,,,,,,,,,831,831,788,,,,
Africa,Western Africa,Nigeria,NGA,"15,605",,,,,"16,423",,,,,"16,996",,,,,"17,843",
Africa,Western Africa,Saint Helena,, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   ,,,,,,,
Africa,Western Africa,Senegal,SEN,984,,,,,"1,047",,,,,"1,099",,,,,"1,105",
Africa,Western Africa,Sierra Leone,SLE,,,,,112,99,101,134,184,158,163,187,113,,,124,
Africa,Western Africa,Togo,TGO,522,,,,,606,,,,,625,,,,,668,
Americas,Caribbean,Anguilla,AIA,1, -   ,2,2,1, -   ,5,4,1,1, -   , -   ,5,1,4,,
Americas,Caribbean,Antigua and Barbuda,ATG,5,7,5,5,4,3,11,17,16,16,6,,10,,,,
Americas,Caribbean,Aruba,ABW,,4,5,4,2,6,5,3,5,4,4,2,4,6,2,,
Americas,Caribbean,Bahamas,BHM,74,43,52,50,44,52,61,78,73,87,94,127,111,119,123,146,111
Americas,Caribbean,Barbados,BRB,20,25,25,33,22,29,35,25,23,19,31,27,22,24,25,31,
Americas,Caribbean,UK  Virgin Islands,VGB,,1,1,2,4,,2,,,,,,,,,,
Americas,Caribbean,Cayman Islands,CYM,4,2, -   ,3,5,3,1,2,4,8,9,,,5,5,,
Americas,Caribbean,Cuba,CUB,587,605,661,642,660,684,576,568,515,565,505,534,621,674,600,619,572
Americas,Caribbean,Curaçao,CUW,,10,39,43,41,26,18,26,,,,,,,,,
Americas,Caribbean,Dominica,DMA,2,1,9,8,8,8,5,7,7,13,15,6,,,,,
Americas,Caribbean,Dominican Republic,DOM,"1,210","1,095","1,279","1,902","2,239","2,394","2,144","2,111","2,394","2,375","2,474","2,513","2,268","1,978","1,810",,"1,616"
Americas,Caribbean,Grenada,GRD,15,6,14,9,6,11,12,11,16,7,10,4,14,6,8,6,11
Americas,Caribbean,Guadeloupe,,,,,,26,23,24,29,32,36,,,,,,,
Americas,Caribbean,Haiti,HTI,,,,,,,,486,498,598,677,914,"1,033",,,,
Americas,Caribbean,Jamaica,JAM,887,"1,139","1,045",975,"1,471","1,674","1,340","1,584","1,619","1,683","1,447","1,133","1,099","1,201","1,005","1,208","1,354"
Americas,Caribbean,Martinique,,,,,,19,19,23,23,17,11,,,,,,,
Americas,Caribbean,Montserrat,, -   , -   , -   , -   , -   ,1,1,,1,,,,1,,,,
Americas,Caribbean,Puerto Rico,PRI,695,747,781,787,797,771,748,730,815,901,"1,017","1,164","1,004",902,700,619,679
